# MINIMISATION RESULTS
# Program version 1.0
#
# Execution time: 2019-01-24 10:32:50
# Minimisation method: BFGS2
# CPU time = 0.87
# ________________________________________________
# LowEdge HighEdge     Entropy        a        b        c          z       ec      y01
    1.485    1.515       1e-24      3.8    7.287 0.600095    -0.0285        1      3.7
   1.7325   1.7675       1e-24      3.8    7.287 0.600095    -0.0285        1      2.9
     1.98     2.02       1e-24      3.8    7.287 0.600095    -0.0285        1      2.4
   2.2275   2.2725       1e-24      3.8    7.287 0.600095    -0.0285        1      2.2
    2.475    2.525       1e-24      3.8    7.287 0.600095    -0.0285        1      2.1
   2.7225   2.7775       1e-24      3.8    7.287 0.600095    -0.0285        1      2.1
     2.97     3.03       1e-24      3.8    7.287 0.600095    -0.0285        1      1.8
   3.2175   3.2825       1e-24      3.8    7.287 0.600095    -0.0285        1      2.1
    3.465    3.535       1e-24      3.8    7.287 0.600095    -0.0285        1      2.1
     3.96     4.04       1e-24      3.8    7.287 0.600095    -0.0285        1      1.9
    4.455    4.545       1e-24      3.8    7.287 0.600095    -0.0285        1      1.8
     4.95     5.05       1e-24      3.8    7.287 0.600095    -0.0285        1      1.7
